word;transcription;translation;success_number;learning_date
viable;ˈvaɪəbl̩;жизнеспособный, жизнедеятельный, всхожий;1;
vibrational motion;vaɪˈbreɪʃnl ˈməʊʃn;колебательное движение;2;
vicinity;vɪˈsɪnɪti;окрестность, близость;-2;
violate;ˈvaɪəleɪt;нарушать, насиловать, попирать;-2;
viscosity;ˈvɪskəsɪti;вязкость;4;
von Neumann;vɒn ˈnɔɪmən;фон Нейман;-1;
warp;wɔːp;деформироваться;-2;
wavelet;ˈweɪvlɪt;небольшая волна, вейвлет, волновой пакет;5;2021-06-10
wavy;ˈweɪvi;волнообразный;-1;
well beyond;wel bɪˈjɒnd;далеко за пределами;5;2021-06-10
well-established;wel ɪˈstæblɪʃt;устоявшийся;-2;
whereas;ˌweərˈæz;тогда как, в то время как, принимая во внимание;-1;
whereby;weəˈbaɪ;посредством чего, каким образом, как;0;
winding number;ˈwaɪndɪŋ ˈnʌmbə(r);число витков;0;
wisely;ˈwaɪzli;с умом, мудро;0;
worth;wɜːθ;ценность, достоинства, стоимость;1;
y ̂ (y-circumflex);waɪ ˈsɜːkəmfleks;y с уголком;4;
yet;jet;еще, все же, тем не менее;3;
yield;jiːld;уступать, давать, приносить, поддаваться, производить;0;
zinc-blende;zɪŋk blend;сфалерит (цинковая обманка);3;
zink (Zn);zɪŋk;цинк;0;
| (vertical bar);ˈvɜːtɪkl bɑː(r);вертикальная черта;2;
